Model,Accuracy,size,gen
MLP,0.6936295568921075,5,2
CNN,0.6841782251135388,5,2
RNN,0.6890880078556524,5,2
RCNN-sigmoid,0.6942858896458601,5,2
DecisionTree,0.6712900454154903,5,2
MLP,0.6845398235625352,5,3
CNN,0.6763436150910342,5,3
RNN,0.6881061127447914,5,3
RCNN-sigmoid,0.6903197547087166,5,3
DecisionTree,0.6689607708189952,5,3
MLP,0.6823394495412844,5,4
CNN,0.6672288181327577,5,4
RNN,0.6916486778197517,5,4
RCNN-sigmoid,0.687605424735173,5,4
DecisionTree,0.6681732325957906,5,4
MLP,0.869428667947554,10,2
CNN,0.8667234972446847,10,2
RNN,0.8717089289107531,10,2
RCNN-sigmoid,0.8762427323087967,10,2
DecisionTree,0.8339816945717121,10,2
MLP,0.866370388571215,10,3
CNN,0.8499531278794304,10,3
RNN,0.8686138404959097,10,3
RCNN-sigmoid,0.8769166259371136,10,3
DecisionTree,0.8309532266981462,10,3
MLP,0.8599843506327669,10,4
CNN,0.8313074285590084,10,4
RNN,0.8670836208723436,10,4
RCNN-sigmoid,0.8071960506761071,10,4
DecisionTree,0.8296093635380611,10,4
